BL;BL_NAME;KREIS;KREIS_NAME;Bluthochdruck;KHK;Herzinfarkt;Herzinsuffizienz;Schlaganfall;Diabetes;Asthma;COPD;Krebs;Lebererkrankungen;Immunschwäche
SH;Schleswig-Holstein;01001;Flensburg; 21,4 ; 6,3 ; 0,2 ; 3,1 ; 0,3 ; 6,7 ; 7,2 ; 5,5 ; 0,7 ; 5,3 ; 1,6 
SH;Schleswig-Holstein;01002;Kiel; 19,5 ; 6,5 ; 0,2 ; 3,4 ; 0,3 ; 6,7 ; 5,2 ; 4,8 ; 0,9 ; 5,7 ; 1,6 
SH;Schleswig-Holstein;01003;Lübeck; 24,6 ; 7,7 ; 0,2 ; 3,6 ; 0,3 ; 8,2 ; 5,8 ; 5,4 ; 1,1 ; 5,7 ; 1,8 
SH;Schleswig-Holstein;01004;Neumünster; 23,9 ; 6,8 ; 0,2 ; 3,8 ; 0,4 ; 7,5 ; 4,6 ; 5,3 ; 1,0 ; 4,2 ; 1,6 
SH;Schleswig-Holstein;01051;Dithmarschen; 25,4 ; 7,3 ; 0,2 ; 4,3 ; 0,4 ; 7,1 ; 6,3 ; 5,1 ; 1,0 ; 4,3 ; 1,8 
SH;Schleswig-Holstein;01053;Herzogtum Lauenburg; 23,9 ; 7,4 ; 0,3 ; 3,6 ; 0,3 ; 7,0 ; 4,9 ; 4,3 ; 1,1 ; 4,7 ; 1,6 
SH;Schleswig-Holstein;01054;Nordfriesland; 24,1 ; 7,5 ; 0,3 ; 3,9 ; 0,3 ; 6,4 ; 6,2 ; 4,7 ; 0,9 ; 4,6 ; 2,0 
SH;Schleswig-Holstein;01055;Ostholstein; 27,8 ; 8,3 ; 0,3 ; 5,0 ; 0,4 ; 8,2 ; 5,2 ; 5,7 ; 1,4 ; 5,2 ; 2,0 
SH;Schleswig-Holstein;01056;Pinneberg; 23,0 ; 5,9 ; 0,2 ; 2,7 ; 0,4 ; 7,0 ; 4,8 ; 3,8 ; 1,0 ; 5,2 ; 1,6 
SH;Schleswig-Holstein;01057;Plön; 27,8 ; 9,7 ; 0,3 ; 4,8 ; 0,3 ; 7,8 ; 5,0 ; 5,5 ; 1,1 ; 4,9 ; 2,1 
SH;Schleswig-Holstein;01058;Rendsburg-Eckernförde; 25,0 ; 7,2 ; 0,3 ; 4,1 ; 0,3 ; 7,3 ; 5,2 ; 4,6 ; 1,0 ; 5,5 ; 1,9 
SH;Schleswig-Holstein;01059;Schleswig-Flensburg; 25,2 ; 8,1 ; 0,3 ; 3,9 ; 0,3 ; 6,9 ; 7,7 ; 5,0 ; 0,9 ; 5,0 ; 2,0 
SH;Schleswig-Holstein;01060;Segeberg; 23,6 ; 7,5 ; 0,2 ; 3,3 ; 0,3 ; 6,9 ; 5,0 ; 4,1 ; 1,0 ; 4,4 ; 1,6 
SH;Schleswig-Holstein;01061;Steinburg; 25,0 ; 7,1 ; 0,2 ; 3,8 ; 0,3 ; 6,9 ; 5,3 ; 4,9 ; 1,1 ; 4,6 ; 1,6 
SH;Schleswig-Holstein;01062;Stormarn; 23,0 ; 7,0 ; 0,3 ; 3,2 ; 0,3 ; 6,5 ; 4,8 ; 4,2 ; 1,0 ; 5,0 ; 1,7 
HH;Hamburg;02000;Hamburg; 18,6 ; 5,5 ; 0,2 ; 2,8 ; 0,3 ; 6,5 ; 5,8 ; 4,5 ; 0,9 ; 4,8 ; 1,5 
NI;Niedersachsen;03101;Braunschweig; 21,9 ; 7,0 ; 0,2 ; 4,9 ; 0,3 ; 6,3 ; 5,3 ; 4,7 ; 0,9 ; 6,1 ; 1,4 
NI;Niedersachsen;03102;Salzgitter; 24,1 ; 8,1 ; 0,3 ; 6,4 ; 0,3 ; 7,2 ; 5,8 ; 5,5 ; 1,0 ; 6,7 ; 1,9 
NI;Niedersachsen;03103;Wolfsburg; 23,4 ; 7,2 ; 0,3 ; 3,9 ; 0,3 ; 6,4 ; 5,0 ; 5,0 ; 0,8 ; 5,9 ; 1,3 
NI;Niedersachsen;03151;Gifhorn; 23,3 ; 7,2 ; 0,2 ; 4,5 ; 0,3 ; 6,2 ; 6,8 ; 5,9 ; 0,9 ; 6,9 ; 1,5 
NI;Niedersachsen;03153;Goslar; 29,0 ; 8,7 ; 0,3 ; 5,2 ; 0,4 ; 8,1 ; 5,3 ; 5,1 ; 1,0 ; 5,3 ; 2,3 
NI;Niedersachsen;03154;Helmstedt; 26,7 ; 7,3 ; 0,2 ; 5,1 ; 0,4 ; 7,7 ; 4,3 ; 4,8 ; 1,0 ; 6,7 ; 1,6 
NI;Niedersachsen;03155;Northeim; 29,5 ; 8,0 ; 0,3 ; 5,8 ; 0,4 ; 7,9 ; 6,0 ; 6,2 ; 1,0 ; 7,0 ; 1,9 
