ID_LK_SK;Flaeche_in_qm
1001;56,74
1002;118,65
1003;214,21
1004;71,63
1051;1428,14
1053;1263,04
1054;2083,01
1055;1392,59
1056;664,25
1057;1083,2
1058;2189,25
1059;2071,13
1060;1344,42
1061;1055,72
1062;766,29
2000;755,09
3101;192,7
3102;224,49
3103;204,61
3151;1567,58
3152;
3153;966,72
3154;676,15
3155;1268,77
3156;
3157;536,5
3158;724,3
3159;1755,55
3201;
3241;2297,14
3251;1990,99
3252;797,54
3253;
3254;1208,33
3255;694,24
3256;1400,8
3257;675,68
3351;1550,82
3352;2058,97
3353;1248,57
3354;1227,22
3355;1327,67
3356;652,67
3357;2074,78
3358;1881,41
3359;1267,38
3360;1462,59
3361;789,39
3401;62,45
3402;112,34
3403;103,09
3404;119,8
3405;107,07
3451;730,57
3452;1287,36
3453;1420,42
3454;2883,67
3455;609,53
3456;981,79
3457;1085,72
3458;1064,84
3459;2121,81
3460;814,2
3461;824,78
3462;656,86
4011;326,18
4012;93,66
5111;217,41
5112;232,8
5113;210,34
5114;137,77
5116;170,47
5117;91,28
5119;77,09
5120;74,52
5122;89,54
5124;168,39
5154;1232,99
5158;407,22
5162;576,42
5166;563,28
5170;1042,8
5313;
5314;141,06
5315;405,02
5316;78,87
5334;706,83
5354;
5358;941,77
5362;704,71
5366;1248,73
5370;627,99
5374;918,85
5378;437,32
5382;1153,21
5512;100,61
5513;104,94
5515;303,28
5554;1420,98
5558;1112,05
5562;761,31
5566;1795,76
5570;1319,42
5711;258,82
5754;969,21
5758;450,41
5762;1201,42
5766;1246,22
5770;1152,41
5774;1246,8
5911;145,66
5913;280,71
5914;160,45
5915;226,43
5916;51,42
5954;409,64
5958;1960,17
5962;1061,06
5966;712,14
5970;1132,89
5974;1328,63
5978;543,21
6411;122,07
6412;248,31
6413;44,88
6414;203,87
6431;719,47
6432;658,64
6433;453,03
6434;481,84
6435;1397,32
6436;222,53
6437;623,97
6438;356,24
6439;811,41
6440;1100,66
6531;854,56
6532;1066,3
6533;738,44
6534;1262,37
6535;1458,91
6611;106,8
6631;1380,41
6632;1097,74
6633;1293,34
6634;1539,02
6635;1848,7
6636;1024,83
7111;105,25
7131;787,02
7132;642,38
7133;863,89
7134;776,83
7135;692,43
7137;817,73
7138;627,06
7140;991,06
7141;782,24
7143;989,04
7211;117,07
7231;1167,94
7232;1626,95
7233;911,64
7235;1102,23
7311;43,88
7312;139,7
7313;82,94
7314;77,43
7315;97,73
7316;117,09
7317;61,36
7318;42,71
7319;108,73
7320;70,64
7331;588,07
7332;594,64
7333;645,41
7334;463,32
7335;640
7336;573,6
7337;639,95
7338;304,99
7339;605,36
7340;953,5
8111;207,33
8115;617,77
8116;641,28
8117;642,34
8118;686,77
8119;858,08
8121;99,89
8125;1099,91
8126;776,76
8127;1484,07
8128;1304,13
8135;627,14
8136;1511,37
8211;140,19
8212;173,42
8215;1085,28
8216;738,43
8221;108,89
8222;144,97
8225;1125,94
8226;1061,55
8231;98,07
8235;797,29
8236;573,6
8237;870,39
8311;153,04
8315;1378,31
8316;679,79
8317;1850,34
8325;769,42
8326;1025,33
8327;734,38
8335;817,98
8336;806,71
8337;1131,1
8415;1027,85
8416;519,12
8417;917,58
8421;118,68
8425;1358,55
8426;1409,53
8435;664,79
8436;1632,1
8437;1204,23
9161;133,35
9162;310,71
9163;37,22
9171;569,29
9172;839,83
9173;1110,67
9174;579,16
9175;549,4
9176;1213,86
9177;870,75
9178;799,85
9179;434,8
9180;1012,21
9181;804,36
9182;866,22
9183;805,33
9184;664,26
9185;739,72
9186;761,04
9187;1439,45
9188;487,72
9189;1533,76
9190;966,3
9261;65,83
9262;69,56
9263;67,59
9271;861,17
9272;983,87
9273;1065,14
9274;1347,57
9275;1530,11
9276;974,8
9277;1281,22
9278;1201,62
9279;877,58
9361;50,13
9362;80,85
9363;70,57
9371;1255,87
9372;1520,13
9373;1343,96
9374;1427,71
9375;1391,67
9376;1465,06
9377;1084,25
9461;54,62
9462;66,89
9463;48,29
9464;58,02
9471;1167,8
9472;1273,63
9473;590,42
9474;642,83
9475;892,52
9476;651,49
9477;658,34
9478;519,94
9479;606,37
9561;99,91
9562;76,96
9563;63,35
9564;186,45
9565;40,8
9571;1971,33
9572;564,56
9573;307,44
9574;799,52
9575;1267,45
9576;895,15
9577;970,78
9661;62,45
9662;35,7
9663;87,6
9671;698,9
9672;1136,84
9673;1021,72
9674;956,19
9675;684,14
9676;715,58
9677;1321,19
9678;841,39
9679;968,36
9761;146,87
9762;40,02
9763;63,28
9764;70,11
9771;780,24
9772;1070,62
9773;792,23
9774;762,4
9775;515,84
9776;323,39
9777;1394,45
9778;1229,59
9779;1274,58
9780;1527,99
10041;410,95
10042;556,66
10043;249,8
10044;459,35
10045;418,27
10046;476,07
11000;891,12
12051;229,72
12052;165,62
12053;147,85
12054;188,26
12060;1479,67
12061;2274,49
12062;1899,57
12063;1727,3
12064;2158,65
12065;1808,18
12066;1223,09
12067;2256,75
12068;2526,57
12069;2592,02
12070;2138,55
12071;1656,97
12072;2104,23
12073;3076,89
13001;
13002;
13003;181,36
13004;130,52
13005;
13006;
13051;
13052;
13053;
13054;
13055;
13056;
13057;
13058;
13059;
13060;
13061;
13062;
13071;5495,63
13072;3431,29
13073;3214,45
13074;2127,12
13075;3945,58
13076;4766,78
14161;
14166;
14167;
14171;
14173;
14177;
14178;
14181;
14182;
14188;
14191;
14193;
14262;
14263;
14264;
14272;
14280;
14284;
14285;
14286;
14287;
14290;
14292;
14365;
14374;
14375;
14379;
14383;
14389;
14511;221,05
14521;1827,9
14522;2116,85
14523;1412,43
14524;949,79
14612;328,48
14625;2395,6
14626;2111,42
14627;1454,59
14628;1654,18
14713;297,8
14729;1651,32
14730;2028,56
15001;244,75
15002;135,02
15003;201,01
15081;2293,05
15082;1453,54
15083;2366,59
15084;1413,7
15085;2104,53
15086;1576,85
15087;1448,85
15088;1433,71
15089;1426,83
15090;2423,24
15091;1930,45
15101;
15151;
15153;
15154;
15159;
15171;
15202;
15256;
15260;
15261;
15265;
15266;
15268;
15303;
15352;
15355;
15357;
15358;
15362;
15363;
15364;
15367;
15369;
15370;
16051;269,91
16052;152,19
16053;114,76
16054;103,03
16055;84,48
16056;104,17
16061;943,07
16062;713,91
16063;1307,43
16064;979,69
16065;1037,89
16066;1210,73
16067;936,08
16068;806,84
16069;938,42
16070;843,71
16071;804,48
16072;433,61
16073;1036,03
16074;815,24
16075;1151,3
16076;845,98
16077;569,41
