,ID_LK_SK,Kreisname,Prävalenz (Anteil mit mindestens einer Vorerkrankung in %),Prävalenz-Schätzwerte plausibles Intervall Untergrenze,Prävalenz-Schätzwerte plausibles Intervall Obergrenze
0,7131,Ahrweiler,28.2,22.1,38.1
1,9771,Aichach-Friedberg,20.5,17.2,26.5
2,8425,Alb-Donau-Kreis,25.7,22.4,30.8
3,16077,Altenburger Land,38.0,33.5,43.6
4,7132,Altenkirchen,29.9,24.4,36.1
5,15081,Altmarkkreis Salzwedel,37.8,30.7,42.6
6,9171,Altötting,25.4,21.9,30.5
7,7331,Alzey-Worms,26.8,20.8,33.2
8,9361,Amberg,28.8,24.2,35.6
9,9371,Amberg-Sulzbach,29.2,24.6,35.0
10,3451,Ammerland,23.6,20.5,26.9
11,15082,Anhalt-Bitterfeld,40.8,31.8,45.8
12,9561,Ansbach,24.5,19.4,29.8
13,9571,"Ansbach, Landkreis",26.0,21.4,33.8
14,9661,Aschaffenburg,22.8,20.0,25.3
15,9671,"Aschaffenburg, Landkreis",23.7,21.5,28.4
16,9761,Augsburg,22.0,18.0,27.8
17,9772,"Augsburg, Landkreis",23.3,19.8,29.0
18,3452,Aurich,28.0,24.1,33.0
19,7332,Bad Dürkheim,28.0,22.2,33.1
20,9672,Bad Kissingen,32.2,26.7,39.5
21,7133,Bad Kreuznach,29.3,22.8,38.4
22,9173,Bad Tölz-Wolfratshausen,23.9,19.4,29.2
23,8211,Baden-Baden,26.1,20.9,33.6
24,9461,Bamberg,21.4,17.3,26.4
25,9471,"Bamberg, Landkreis",26.1,21.5,31.6
26,12060,Barnim,29.5,23.3,36.8
27,14625,Bautzen,33.3,27.2,41.2
28,9462,Bayreuth,24.1,20.5,29.3
29,9472,"Bayreuth, Landkreis",29.4,25.4,34.2
30,9172,Berchtesgadener Land,23.8,20.0,31.1
31,6431,Bergstraße,22.4,19.4,28.9
32,11000,Berlin,22.2,19.6,25.7
33,7231,Bernkastel-Wittlich,28.7,23.3,33.8
34,8426,Biberach,21.9,19.0,28.1
35,5711,Bielefeld,23.6,18.9,28.6
36,7134,Birkenfeld,31.2,25.3,38.2
37,8115,Böblingen,22.6,19.5,28.4
38,5911,Bochum,28.7,23.7,32.6
39,8435,Bodenseekreis,20.7,17.4,28.7
40,5314,Bonn,20.5,16.7,26.3
41,15083,Börde,33.0,27.1,39.4
42,5554,Borken,23.3,19.3,29.0
43,5512,Bottrop,33.3,28.7,40.7
44,12051,Brandenburg a.d,34.7,23.4,43.2
45,3101,Braunschweig,22.8,20.4,26.5
46,8315,Breisgau-Hochschwarzwald,21.8,18.1,27.9
47,4011,Bremen,23.3,19.7,27.3
48,4012,Bremerhaven,27.9,23.5,32.1
49,15084,Burgenlandkreis,39.2,34.6,43.3
50,8235,Calw,24.9,21.2,30.3
51,3351,Celle,23.5,20.1,31.3
52,9372,Cham,27.8,24.4,33.1
53,14511,Chemnitz,30.6,27.4,36.4
54,3453,Cloppenburg,23.5,20.5,28.0
55,9463,Coburg,26.1,21.8,33.2
56,9473,"Coburg, Landkreis",32.2,26.3,36.4
57,7135,Cochem-Zell,34.5,29.1,40.2
58,5558,Coesfeld,27.5,21.0,34.3
59,12052,Cottbus,29.7,23.0,35.1
60,3352,Cuxhaven,28.3,24.3,32.9
61,9174,Dachau,22.5,18.8,27.7
62,12061,Dahme-Spreewald,29.6,23.2,35.5
63,6411,Darmstadt,18.6,16.5,21.9
64,6432,Darmstadt-Dieburg,24.9,21.2,30.8
65,9271,Deggendorf,26.0,22.2,32.8
66,3401,Delmenhorst,25.9,22.6,30.2
67,15001,Dessau-Roßlau,36.7,31.3,41.7
68,3251,Diepholz,25.8,22.4,31.7
69,9773,Dillingen a.d.D,27.6,23.5,32.3
70,9279,Dingolfing-Landau,28.0,23.4,34.8
71,1051,Dithmarschen,27.1,22.0,32.7
72,9779,Donau-Ries,27.2,23.3,32.4
73,7333,Donnersbergkreis,30.3,24.4,37.6
74,5913,Dortmund,26.6,22.4,31.1
75,14612,Dresden,24.5,20.4,30.2
76,5112,Duisburg,30.2,26.0,34.2
77,5358,Düren,30.0,26.7,34.0
78,5111,Düsseldorf,23.5,20.6,28.1
79,9175,Ebersberg,21.0,17.5,26.8
80,16061,Eichsfeld,34.3,29.8,39.2
81,9176,Eichstätt,22.3,17.6,28.8
82,7232,Bitburg-Prüm,28.1,22.4,36.5
83,16056,Eisenach,33.8,29.0,38.9
84,12062,Elbe-Elster,37.1,28.8,42.0
85,3402,Emden,22.9,18.2,28.4
86,8316,Emmendingen,23.2,19.6,29.1
87,3454,Emsland,25.7,22.6,30.7
88,5954,Ennepe-Ruhr-Kreis,31.8,27.1,36.2
89,8236,Enzkreis,25.1,20.9,30.4
90,9177,Erding,21.4,18.2,28.1
91,16051,Erfurt,27.2,23.2,33.4
92,9562,Erlangen,20.6,17.2,27.3
93,9572,Erlangen-Höchstadt,24.6,20.3,30.8
94,14521,Erzgebirgskreis,38.1,33.9,42.7
95,5113,Essen,29.1,25.0,33.6
96,8116,Esslingen,24.5,20.0,31.4
97,5366,Euskirchen,28.4,22.3,33.3
98,1001,Flensburg,24.7,20.8,28.8
99,9474,Forchheim,26.1,21.9,32.0
100,7311,Frankenthal,23.8,20.4,30.8
101,12053,Frankfurt (Oder),35.1,29.9,45.3
102,6412,Frankfurt am Main,19.4,17.1,23.9
103,8311,Freiburg i.Brei,16.1,13.2,22.2
104,9178,Freising,20.4,16.8,25.7
105,8237,Freudenstadt,24.4,20.7,29.1
106,9272,Freyung-Grafenau,28.7,24.2,33.8
107,3455,Friesland,28.5,24.2,34.0
108,6631,Fulda,28.0,23.6,32.5
109,9179,Fürstenfeldbruck,22.0,18.1,27.5
110,9563,Fürth,24.4,19.9,29.9
111,9573,"Fürth, Landkreis",26.6,22.2,32.5
112,9180,Garmisch-Partenkirchen,23.0,18.0,29.0
113,5513,Gelsenkirchen,33.7,27.2,38.9
114,16052,Gera,32.6,27.6,39.7
115,7334,Germersheim,27.0,23.6,32.2
116,6531,Gießen,24.5,21.2,27.9
117,3151,Gifhorn,27.3,22.9,32.5
118,8117,Göppingen,23.5,20.6,28.1
119,14626,Görlitz,36.5,33.0,42.5
120,3153,Goslar,30.6,26.9,35.0
121,16067,Gotha,34.4,29.8,38.7
