,ID_LK_SK,Prävalenz,Prävalenz_plausibles_Intervall_untere_Grenze,Prävalenz_plausibles_Intervall_obere_Grenze
0,1001,24.7,20.8,28.8
1,1002,20.6,18.1,28.2
2,1003,26.4,21.6,30.0
3,1004,28.1,25.0,32.8
4,1051,27.1,22.0,32.7
5,1053,25.4,20.1,28.1
6,1054,24.2,18.4,34.1
7,1055,29.0,24.6,33.8
8,1056,23.9,19.6,29.3
9,1057,25.1,20.4,30.4
10,1058,24.4,20.8,29.0
11,1059,26.6,22.0,31.3
12,1060,25.4,18.6,33.7
13,1061,29.5,23.6,37.6
14,1062,22.9,17.2,28.2
15,2000,21.4,17.9,25.4
16,3101,22.8,20.4,26.5
17,3102,30.5,26.2,36.9
18,3103,26.8,22.1,31.0
19,3151,27.3,22.9,32.5
20,3153,30.6,26.9,35.0
21,3154,32.1,26.3,39.3
22,3155,33.4,29.0,37.9
23,3157,27.0,23.4,31.3
24,3158,24.2,20.9,28.8
25,3159,27.4,24.2,31.9
26,3241,25.8,22.1,30.2
27,3251,25.8,22.4,31.7
28,3252,28.0,24.1,33.5
29,3254,26.1,23.5,30.3
30,3255,33.8,29.5,39.3
31,3256,30.4,26.4,34.9
32,3257,23.7,20.2,28.5
33,3351,23.5,20.1,31.3
34,3352,28.3,24.3,32.9
35,3353,23.5,19.6,27.8
36,3354,35.2,28.0,41.1
37,3355,22.9,19.1,27.7
38,3356,25.5,21.1,31.5
39,3357,27.4,22.1,32.3
40,3358,27.8,23.8,32.2
41,3359,26.2,22.2,31.1
42,3360,32.1,25.8,38.7
43,3361,27.2,23.3,32.6
44,3401,25.9,22.6,30.2
45,3402,22.9,18.2,28.4
46,3403,19.5,16.6,24.2
47,3404,22.9,18.4,29.1
48,3405,30.8,25.9,36.3
49,3451,23.6,20.5,26.9
50,3452,28.0,24.1,33.0
51,3453,23.5,20.5,28.0
52,3454,25.7,22.6,30.7
53,3455,28.5,24.2,34.0
54,3456,25.3,21.8,30.9
55,3457,28.0,24.3,32.6
56,3458,22.6,19.6,26.9
57,3459,27.6,24.0,34.1
58,3460,23.5,20.8,27.2
59,3461,31.3,25.6,38.1
60,3462,31.2,25.7,37.1
61,4011,23.3,19.7,27.3
62,4012,27.9,23.5,32.1
63,5111,23.5,20.6,28.1
64,5112,30.2,26.0,34.2
65,5113,29.1,25.0,33.6
66,5114,28.0,22.2,32.0
67,5116,29.0,23.9,33.3
68,5117,26.5,20.7,31.1
69,5119,28.1,23.5,33.3
70,5120,37.0,29.0,43.9
71,5122,29.5,25.7,33.1
72,5124,28.2,24.3,33.0
73,5154,29.7,27.1,33.1
74,5158,30.5,27.6,34.6
75,5162,25.6,23.2,31.7
76,5166,30.1,25.1,35.9
77,5170,33.5,29.5,38.1
78,5314,20.5,16.7,26.3
79,5315,21.6,18.9,26.9
80,5316,26.6,23.0,31.0
81,5334,25.8,22.3,30.1
82,5358,30.0,26.7,34.0
83,5362,24.3,20.7,31.4
84,5366,28.4,22.3,33.3
85,5370,26.3,23.0,32.5
86,5374,26.5,22.9,31.4
87,5378,26.9,22.7,31.7
88,5382,24.6,19.6,30.6
89,5512,33.3,28.7,40.7
90,5513,33.7,27.2,38.9
91,5515,17.1,14.4,24.9
92,5554,23.3,19.3,29.0
93,5558,27.5,21.0,34.3
94,5562,31.4,25.2,36.1
95,5566,26.3,21.6,31.6
96,5570,28.8,25.1,32.3
97,5711,23.6,18.9,28.6
98,5754,25.2,21.3,29.7
99,5758,27.5,23.3,32.3
100,5762,28.9,25.3,33.3
101,5766,26.5,23.4,31.7
102,5770,26.9,21.7,33.9
103,5774,24.1,20.6,28.1
104,5911,28.7,23.7,32.6
105,5913,26.6,22.4,31.1
106,5914,28.8,23.1,34.6
107,5915,31.4,25.8,36.5
108,5916,33.4,29.7,37.6
109,5954,31.8,27.1,36.2
110,5958,31.8,29.6,34.5
111,5962,30.9,27.3,35.7
112,5966,28.0,25.0,33.5
113,5970,29.2,25.5,33.4
114,5974,29.6,24.8,35.7
115,5978,31.7,27.1,36.9
116,6411,18.6,16.5,21.9
117,6412,19.4,17.1,23.9
118,6413,22.2,18.8,26.5
119,6414,22.7,19.5,26.1
120,6431,22.4,19.4,28.9
121,6432,24.9,21.2,30.8
122,6433,23.0,19.8,27.8
123,6434,20.5,16.1,25.4
124,6435,25.1,21.8,30.3
125,6436,19.3,16.7,23.9
126,6437,28.0,24.3,32.5
127,6438,21.7,17.9,27.5
128,6439,24.5,20.4,30.5
129,6440,26.3,22.7,30.5
130,6531,24.5,21.2,27.9
131,6532,29.6,24.6,34.5
132,6533,26.6,22.0,32.2
133,6534,22.1,19.7,29.0
134,6535,33.0,27.7,38.9
135,6611,21.5,17.1,25.0
136,6631,28.0,23.6,32.5
137,6632,31.8,25.9,37.5
138,6633,27.9,23.9,34.1
139,6634,29.5,25.4,34.6
140,6635,32.2,27.3,39.4
141,6636,32.3,26.9,38.1
142,7111,22.2,18.0,28.5
143,7131,28.2,22.1,38.1
144,7132,29.9,24.4,36.1
145,7133,29.3,22.8,38.4
146,7134,31.2,25.3,38.2
147,7135,34.5,29.1,40.2
148,7137,28.0,23.4,34.5
149,7138,28.8,23.3,35.1
150,7140,29.2,24.1,35.3
151,7141,28.4,22.4,34.5
152,7143,29.7,24.2,34.4
153,7211,24.8,19.4,32.1
154,7231,28.7,23.3,33.8
155,7232,28.1,22.4,36.5
156,7233,34.8,29.9,39.5
157,7235,26.4,20.2,35.1
158,7311,23.8,20.4,30.8
159,7312,23.0,18.3,30.8
160,7313,24.7,20.1,30.2
161,7314,24.2,19.2,28.3
162,7315,20.1,16.6,27.1
163,7316,24.6,20.6,34.2
164,7317,31.3,25.5,37.1
165,7318,24.5,19.6,30.0
166,7319,26.3,20.9,33.1
167,7320,28.5,23.5,34.8
168,7331,26.8,20.8,33.2
169,7332,28.0,22.2,33.1
170,7333,30.3,24.4,37.6
171,7334,27.0,23.6,32.2
172,7335,25.0,20.2,32.7
173,7336,28.7,24.1,36.1
174,7337,26.8,21.0,32.2
175,7338,22.8,17.0,30.2
176,7339,23.9,17.7,31.2
177,7340,30.0,24.8,39.4
178,8111,19.7,16.9,25.4
179,8115,22.6,19.5,28.4
180,8116,24.5,20.0,31.4
181,8117,23.5,20.6,28.1
182,8118,22.1,19.2,28.8
183,8119,24.7,21.4,30.9
184,8121,23.3,19.9,28.2
185,8125,23.7,20.9,29.8
186,8126,26.2,23.0,31.7
187,8127,24.8,21.7,29.5
188,8128,29.1,25.4,34.0
189,8135,27.1,22.2,33.0
190,8136,23.2,19.1,30.1
191,8211,26.1,20.9,33.6
192,8212,19.9,16.1,25.2
193,8215,26.6,22.2,33.0
194,8216,23.7,20.8,29.5
195,8221,13.9,11.0,21.9
196,8222,22.1,18.3,26.6
197,8225,30.5,27.3,35.9
198,8226,24.0,20.7,31.1
199,8231,25.5,21.6,29.5
200,8235,24.9,21.2,30.3
201,8236,25.1,20.9,30.4
202,8237,24.4,20.7,29.1
203,8311,16.1,13.2,22.2
204,8315,21.8,18.1,27.9
205,8316,23.2,19.6,29.1
206,8317,26.0,20.8,31.4
207,8325,25.0,21.9,29.2
208,8326,23.9,21.1,30.3
209,8327,24.0,20.4,29.0
210,8335,19.8,15.0,27.9
211,8336,21.1,17.9,27.1
212,8337,21.8,18.1,27.1
