,ID_LK_SK,Bluthochdruck,KHK,Herzinfarkt,Herzinsuffizienz,Schlaganfall,Diabetes,Asthma,COPD,Krebs,Lebererkrankungen,Immunschwäche
0,1001,21.4,6.3,0.2,3.1,0.3,6.7,7.2,5.5,0.7,5.3,1.6
1,1002,19.5,6.5,0.2,3.4,0.3,6.7,5.2,4.8,0.9,5.7,1.6
2,1003,24.6,7.7,0.2,3.6,0.3,8.2,5.8,5.4,1.1,5.7,1.8
3,1004,23.9,6.8,0.2,3.8,0.4,7.5,4.6,5.3,1.0,4.2,1.6
4,1051,25.4,7.3,0.2,4.3,0.4,7.1,6.3,5.1,1.0,4.3,1.8
5,1053,23.9,7.4,0.3,3.6,0.3,7.0,4.9,4.3,1.1,4.7,1.6
6,1054,24.1,7.5,0.3,3.9,0.3,6.4,6.2,4.7,0.9,4.6,2.0
7,1055,27.8,8.3,0.3,5.0,0.4,8.2,5.2,5.7,1.4,5.2,2.0
8,1056,23.0,5.9,0.2,2.7,0.4,7.0,4.8,3.8,1.0,5.2,1.6
9,1057,27.8,9.7,0.3,4.8,0.3,7.8,5.0,5.5,1.1,4.9,2.1
10,1058,25.0,7.2,0.3,4.1,0.3,7.3,5.2,4.6,1.0,5.5,1.9
11,1059,25.2,8.1,0.3,3.9,0.3,6.9,7.7,5.0,0.9,5.0,2.0
12,1060,23.6,7.5,0.2,3.3,0.3,6.9,5.0,4.1,1.0,4.4,1.6
13,1061,25.0,7.1,0.2,3.8,0.3,6.9,5.3,4.9,1.1,4.6,1.6
14,1062,23.0,7.0,0.3,3.2,0.3,6.5,4.8,4.2,1.0,5.0,1.7
15,2000,18.6,5.5,0.2,2.8,0.3,6.5,5.8,4.5,0.9,4.8,1.5
16,3101,21.9,7.0,0.2,4.9,0.3,6.3,5.3,4.7,0.9,6.1,1.4
17,3102,24.1,8.1,0.3,6.4,0.3,7.2,5.8,5.5,1.0,6.7,1.9
18,3103,23.4,7.2,0.3,3.9,0.3,6.4,5.0,5.0,0.8,5.9,1.3
