Landkreis,ID_LK_SK,LK_SK,Bundesland,age_covid_0_34_%,age_covid_35_59_%,age_covid_60+_%,age_covid_unknown_%,gender_covid_f_%,gender_covid_m_%,gender_covid_unknown_%,Sterberate_%
LK Ahrweiler,7131,LK,Rheinland-Pfalz,41.269841269841265,41.269841269841265,16.402116402116402,1.0582010582010581,45.78313253012048,51.80722891566265,2.4096385542168677,0.5291005291005291
LK Aichach-Friedberg,9771,LK,Bayern,22.330097087378643,44.01294498381877,33.65695792880259,0.0,50.92936802973978,49.07063197026022,0.0,6.472491909385113
LK Alb-Donau-Kreis,8425,LK,Baden-Württemberg,24.610591900311526,49.22118380062305,26.168224299065418,0.0,55.376344086021504,44.623655913978496,0.0,4.049844236760125
LK Altenburger Land,16077,LK,Thüringen,14.084507042253522,52.112676056338024,33.80281690140845,0.0,55.072463768115945,44.927536231884055,0.0,4.225352112676056
LK Altenkirchen,7132,LK,Rheinland-Pfalz,22.424242424242426,40.0,37.57575757575757,0.0,61.18421052631579,38.81578947368421,0.0,6.666666666666667
LK Altmarkkreis Salzwedel,15081,LK,Sachsen-Anhalt,30.303030303030305,39.39393939393939,30.303030303030305,0.0,60.60606060606061,39.39393939393939,0.0,3.0303030303030303
LK Altötting,9171,LK,Bayern,19.867549668874172,41.72185430463576,38.24503311258278,0.16556291390728478,54.67889908256881,45.321100917431195,0.0,8.774834437086094
LK Alzey-Worms,7331,LK,Rheinland-Pfalz,30.451127819548873,39.097744360902254,30.075187969924812,0.37593984962406013,56.09756097560976,43.90243902439025,0.0,4.135338345864661
LK Amberg-Sulzbach,9371,LK,Bayern,20.766129032258064,32.66129032258064,46.57258064516129,0.0,60.64356435643564,39.35643564356436,0.0,9.475806451612904
LK Ammerland,3451,LK,Niedersachsen,31.382978723404253,46.27659574468085,22.340425531914892,0.0,55.80110497237569,44.19889502762431,0.0,2.6595744680851063
LK Anhalt-Bitterfeld,15082,LK,Sachsen-Anhalt,27.397260273972602,45.20547945205479,27.397260273972602,0.0,50.0,50.0,0.0,2.73972602739726
LK Ansbach,9571,LK,Bayern,30.198019801980198,40.42904290429043,29.372937293729372,0.0,52.90697674418605,47.093023255813954,0.0,4.455445544554455
LK Aschaffenburg,9671,LK,Bayern,18.24953445065177,40.4096834264432,41.340782122905026,0.0,55.43933054393305,44.56066945606695,0.0,7.076350093109869
LK Augsburg,9772,LK,Bayern,23.05699481865285,44.81865284974093,32.12435233160622,0.0,44.90358126721763,54.82093663911846,0.27548209366391185,2.33160621761658
LK Aurich,3452,LK,Niedersachsen,32.25806451612903,41.935483870967744,25.806451612903224,0.0,47.45762711864407,52.54237288135594,0.0,6.451612903225806
LK Bad Dürkheim,7332,LK,Rheinland-Pfalz,26.993865030674847,41.41104294478527,31.595092024539877,0.0,51.48514851485149,48.51485148514851,0.0,3.6809815950920246
LK Bad Kissingen,9672,LK,Bayern,20.930232558139537,34.10852713178294,44.96124031007752,0.0,51.776649746192895,47.71573604060914,0.5076142131979695,7.3643410852713185
LK Bad Kreuznach,7133,LK,Rheinland-Pfalz,24.747474747474747,41.41414141414141,31.313131313131315,2.525252525252525,52.307692307692314,46.92307692307692,0.7692307692307693,3.535353535353535
LK Bad Tölz-Wolfratshausen,9173,LK,Bayern,28.60520094562648,46.57210401891253,24.822695035460992,0.0,45.75835475578406,54.24164524421594,0.0,2.3640661938534278
LK Bamberg,9471,LK,Bayern,24.821002386634845,42.720763723150355,32.4582338902148,0.0,57.47126436781609,42.5287356321839,0.0,8.591885441527445
LK Barnim,12060,LK,Brandenburg,20.975609756097562,39.75609756097561,39.268292682926834,0.0,58.52272727272727,41.47727272727273,0.0,7.073170731707316
LK Bautzen,14625,LK,Sachsen,23.847695390781563,39.078156312625254,37.07414829659319,0.0,59.122401847575055,40.877598152424945,0.0,4.008016032064128
LK Bayreuth,9472,LK,Bayern,23.27790973871734,38.47980997624703,38.242280285035626,0.0,53.015075376884425,46.984924623115575,0.0,6.413301662707839
LK Berchtesgadener Land,9172,LK,Bayern,18.272425249169437,39.8671096345515,41.86046511627907,0.0,47.368421052631575,52.63157894736842,0.0,7.308970099667775
LK Bergstraße,6431,LK,Hessen,31.63841807909605,48.30508474576271,20.056497175141246,0.0,45.56574923547401,54.43425076452599,0.0,0.847457627118644
LK Bernkastel-Wittlich,7231,LK,Rheinland-Pfalz,34.146341463414636,47.5609756097561,18.29268292682927,0.0,46.40522875816993,52.94117647058824,0.6535947712418301,1.2195121951219512
LK Biberach,8426,LK,Baden-Württemberg,30.44982698961938,37.0242214532872,32.52595155709342,0.0,54.27509293680297,45.72490706319702,0.0,5.709342560553633
LK Birkenfeld,7134,LK,Rheinland-Pfalz,33.33333333333333,33.33333333333333,33.33333333333333,0.0,50.0,50.0,0.0,2.2222222222222223
LK Bitburg-Prüm,7232,LK,Rheinland-Pfalz,25.0,45.65217391304348,29.347826086956523,0.0,50.649350649350644,49.35064935064935,0.0,2.1739130434782608
