Landkreis,ID_LK_SK,LK_SK,Bundesland,age_covid_0_34_%,age_covid_35_59_%,age_covid_60+_%,age_covid_unknown_%,gender_covid_f_%,gender_covid_m_%,gender_covid_unknown_%,Sterberate_%
LK Ahrweiler,7131,LK,Rheinland-Pfalz,39.548022598870055,42.3728813559322,16.94915254237288,1.1299435028248588,46.794871794871796,50.641025641025635,2.564102564102564,0.5649717514124294
LK Aichach-Friedberg,9771,LK,Bayern,18.947368421052634,44.56140350877193,36.49122807017544,0.0,51.34099616858238,48.275862068965516,0.38314176245210724,7.017543859649122
LK Alb-Donau-Kreis,8425,LK,Baden-Württemberg,25.080385852090032,48.87459807073955,26.04501607717042,0.0,55.679702048417134,44.320297951582866,0.0,3.376205787781351
LK Altenburger Land,16077,LK,Thüringen,15.873015873015872,52.38095238095239,31.746031746031743,0.0,54.83870967741935,45.16129032258064,0.0,4.761904761904762
LK Altenkirchen,7132,LK,Rheinland-Pfalz,22.22222222222222,39.50617283950617,38.2716049382716,0.0,61.74496644295302,38.25503355704698,0.0,6.790123456790123
LK Altmarkkreis Salzwedel,15081,LK,Sachsen-Anhalt,30.303030303030305,39.39393939393939,30.303030303030305,0.0,60.60606060606061,39.39393939393939,0.0,0.0
LK Altötting,9171,LK,Bayern,19.798657718120804,41.2751677852349,38.758389261744966,0.16778523489932887,53.63128491620112,46.36871508379888,0.0,8.389261744966444
LK Alzey-Worms,7331,LK,Rheinland-Pfalz,30.916030534351147,38.54961832061068,30.15267175572519,0.38167938931297707,56.557377049180324,43.44262295081967,0.0,4.198473282442748
LK Amberg-Sulzbach,9371,LK,Bayern,20.867768595041323,32.85123966942149,46.28099173553719,0.0,60.204081632653065,39.795918367346935,0.0,9.090909090909092
LK Ammerland,3451,LK,Niedersachsen,30.17751479289941,46.74556213017752,23.076923076923077,0.0,54.87804878048781,45.1219512195122,0.0,2.9585798816568047
LK Anhalt-Bitterfeld,15082,LK,Sachsen-Anhalt,28.169014084507044,43.66197183098591,28.169014084507044,0.0,50.0,50.0,0.0,2.8169014084507045
LK Ansbach,9571,LK,Bayern,30.084033613445378,40.50420168067227,29.411764705882355,0.0,52.342158859470466,47.45417515274949,0.20366598778004072,4.369747899159663
LK Aschaffenburg,9671,LK,Bayern,18.234165067178505,39.34740882917466,42.41842610364684,0.0,55.291576673866096,44.49244060475162,0.21598272138228944,6.90978886756238
LK Augsburg,9772,LK,Bayern,24.093264248704664,44.04145077720207,31.865284974093267,0.0,44.759206798866856,54.95750708215298,0.28328611898017,2.072538860103627
LK Aurich,3452,LK,Niedersachsen,23.958333333333336,45.83333333333333,30.208333333333332,0.0,49.46236559139785,50.53763440860215,0.0,8.333333333333332
LK Bad Dürkheim,7332,LK,Rheinland-Pfalz,27.160493827160494,41.358024691358025,31.48148148148148,0.0,51.82724252491694,48.17275747508305,0.0,3.7037037037037033
LK Bad Kissingen,9672,LK,Bayern,20.866141732283463,34.25196850393701,44.881889763779526,0.0,51.5625,47.39583333333333,1.0416666666666665,7.480314960629922
LK Bad Kreuznach,7133,LK,Rheinland-Pfalz,25.0,41.3265306122449,31.122448979591837,2.5510204081632653,51.5625,47.65625,0.78125,3.571428571428571
LK Bad Tölz-Wolfratshausen,9173,LK,Bayern,28.53717026378897,46.28297362110312,25.179856115107913,0.0,45.95300261096606,54.04699738903395,0.0,2.3980815347721824
LK Bamberg,9471,LK,Bayern,25.742574257425744,42.07920792079208,32.17821782178218,0.0,57.3134328358209,42.68656716417911,0.0,8.663366336633663
LK Barnim,12060,LK,Brandenburg,21.182266009852217,38.91625615763547,39.90147783251231,0.0,58.620689655172406,41.37931034482759,0.0,7.142857142857142
LK Bautzen,14625,LK,Sachsen,24.066390041493776,38.589211618257266,37.344398340248965,0.0,58.85167464114832,41.14832535885167,0.0,3.7344398340248963
LK Bayreuth,9472,LK,Bayern,23.317307692307693,38.70192307692308,37.980769230769226,0.0,52.84974093264248,47.15025906735752,0.0,6.490384615384616
LK Berchtesgadener Land,9172,LK,Bayern,18.181818181818183,39.73063973063973,42.08754208754209,0.0,48.54368932038835,51.45631067961165,0.0,7.4074074074074066
LK Bergstraße,6431,LK,Hessen,29.411764705882355,49.705882352941174,20.88235294117647,0.0,45.42586750788644,54.57413249211357,0.0,0.8823529411764706
LK Bernkastel-Wittlich,7231,LK,Rheinland-Pfalz,34.41558441558442,48.05194805194805,17.532467532467532,0.0,47.55244755244755,51.74825174825175,0.6993006993006993,1.2987012987012987
LK Biberach,8426,LK,Baden-Württemberg,28.76480541455161,39.76311336717428,31.472081218274113,0.0,53.24165029469549,45.383104125736736,1.37524557956778,5.583756345177665
LK Birkenfeld,7134,LK,Rheinland-Pfalz,34.090909090909086,34.090909090909086,31.818181818181817,0.0,50.0,50.0,0.0,1.1363636363636365
LK Bitburg-Prüm,7232,LK,Rheinland-Pfalz,25.0,45.65217391304348,29.347826086956523,0.0,50.649350649350644,49.35064935064935,0.0,2.1739130434782608
LK Bodenseekreis,8435,LK,Baden-Württemberg,25.951557093425603,49.48096885813148,24.567474048442904,0.0,46.51162790697674,53.48837209302325,0.0,2.768166089965398
LK Borken,5554,LK,Nordrhein-Westfalen,29.97061704211557,46.42507345739471,23.604309500489716,0.0,50.76142131979695,49.23857868020304,0.0,3.721841332027424
LK Breisgau-Hochschwarzwald,8315,LK,Baden-Württemberg,19.340463458110516,41.53297682709447,39.12655971479501,0.0,51.746031746031754,48.25396825396825,0.0,5.793226381461675
LK Burgenlandkreis,15084,LK,Sachsen-Anhalt,21.428571428571427,47.32142857142857,31.25,0.0,51.81818181818182,48.18181818181818,0.0,1.7857142857142856
LK Böblingen,8115,LK,Baden-Württemberg,24.962630792227205,42.82511210762332,32.21225710014948,0.0,50.11547344110855,49.65357967667436,0.23094688221709006,3.288490284005979
LK Börde,15083,LK,Sachsen-Anhalt,22.151898734177212,37.9746835443038,39.87341772151899,0.0,61.07382550335571,38.92617449664429,0.0,7.59493670886076
LK Calw,8235,LK,Baden-Württemberg,28.96174863387978,43.5792349726776,27.459016393442624,0.0,56.196943972835314,43.463497453310694,0.3395585738539898,3.278688524590164
LK Celle,3351,LK,Niedersachsen,23.157894736842106,36.31578947368421,40.526315789473685,0.0,54.395604395604394,45.604395604395606,0.0,6.842105263157896
LK Cham,9372,LK,Bayern,27.44630071599045,40.572792362768496,31.980906921241047,0.0,52.331606217616574,47.66839378238342,0.0,4.77326968973747
LK Cloppenburg,3453,LK,Niedersachsen,37.1900826446281,42.97520661157025,19.834710743801654,0.0,45.535714285714285,53.57142857142857,0.8928571428571428,0.0
LK Coburg,9473,LK,Bayern,19.014084507042252,35.563380281690144,45.07042253521127,0.35211267605633806,58.50622406639005,41.49377593360996,0.0,5.985915492957746
LK Cochem-Zell,7135,LK,Rheinland-Pfalz,28.90625,57.8125,13.28125,0.0,40.17857142857143,59.82142857142857,0.0,0.78125
LK Coesfeld,5558,LK,Nordrhein-Westfalen,28.841607565011824,52.836879432624116,18.321513002364064,0.0,47.27272727272727,52.72727272727272,0.0,2.8368794326241136
LK Cuxhaven,3352,LK,Niedersachsen,23.0,29.5,47.5,0.0,54.09836065573771,45.90163934426229,0.0,8.0
LK Dachau,9174,LK,Bayern,31.718061674008812,41.519823788546255,26.762114537444937,0.0,48.16824966078697,51.83175033921302,0.0,3.0837004405286343
LK Dahme-Spreewald,12061,LK,Brandenburg,28.03347280334728,43.51464435146444,28.451882845188287,0.0,50.943396226415096,49.056603773584904,0.0,3.3472803347280333
LK Darmstadt-Dieburg,6432,LK,Hessen,25.432098765432098,47.654320987654316,26.913580246913583,0.0,45.93175853018373,54.06824146981627,0.0,4.197530864197531
LK Deggendorf,9271,LK,Bayern,28.478964401294498,42.07119741100323,29.449838187702266,0.0,50.522648083623686,49.47735191637631,0.0,4.207119741100324
LK Diepholz,3251,LK,Niedersachsen,18.028169014084508,42.816901408450704,39.154929577464785,0.0,52.36593059936908,47.3186119873817,0.31545741324921134,7.042253521126761
LK Dillingen a.d.Donau,9773,LK,Bayern,24.334600760456272,33.840304182509506,41.825095057034225,0.0,56.81818181818182,43.18181818181818,0.0,9.125475285171103
LK Dingolfing-Landau,9279,LK,Bayern,22.926829268292686,46.82926829268293,30.24390243902439,0.0,51.515151515151516,48.484848484848484,0.0,3.414634146341464
LK Dithmarschen,1051,LK,Schleswig-Holstein,18.64406779661017,37.28813559322034,44.06779661016949,0.0,53.57142857142857,46.42857142857143,0.0,5.084745762711865
LK Donau-Ries,9779,LK,Bayern,24.277456647398843,39.884393063583815,35.83815028901734,0.0,58.108108108108105,41.891891891891895,0.0,6.6473988439306355
LK Donnersbergkreis,7333,LK,Rheinland-Pfalz,28.57142857142857,53.383458646616546,18.045112781954884,0.0,58.51063829787234,40.42553191489361,1.0638297872340425,3.7593984962406015
LK Düren,5358,LK,Nordrhein-Westfalen,21.525423728813557,41.69491525423729,36.77966101694915,0.0,54.13385826771654,45.86614173228347,0.0,6.440677966101695
LK Ebersberg,9175,LK,Bayern,41.164658634538156,42.77108433734939,16.06425702811245,0.0,46.19164619164619,53.8083538083538,0.0,1.0040160642570282
LK Eichsfeld,16061,LK,Thüringen,21.192052980132452,48.34437086092716,30.4635761589404,0.0,57.24137931034483,42.758620689655174,0.0,5.298013245033113
LK Eichstätt,9176,LK,Bayern,25.78397212543554,49.47735191637631,24.738675958188153,0.0,53.937007874015755,46.06299212598425,0.0,5.923344947735192
LK Elbe-Elster,12062,LK,Brandenburg,25.0,40.78947368421053,34.21052631578947,0.0,50.0,50.0,0.0,3.9473684210526314
LK Emmendingen,8316,LK,Baden-Württemberg,17.953667953667953,40.34749034749035,41.6988416988417,0.0,54.565217391304344,45.43478260869565,0.0,7.722007722007722
LK Emsland,3454,LK,Niedersachsen,32.3394495412844,37.38532110091743,30.275229357798167,0.0,52.71317829457365,47.02842377260982,0.2583979328165375,5.5045871559633035
LK Ennepe-Ruhr-Kreis,5954,LK,Nordrhein-Westfalen,33.17422434367542,45.58472553699284,21.241050119331742,0.0,47.704081632653065,52.295918367346935,0.0,3.341288782816229
LK Enzkreis,8236,LK,Baden-Württemberg,28.115015974440894,43.76996805111821,27.316293929712458,0.7987220447284344,51.059322033898304,48.09322033898305,0.847457627118644,2.7156549520766773
LK Erding,9177,LK,Bayern,35.526315789473685,44.40789473684211,20.065789473684212,0.0,48.4375,51.5625,0.0,1.8092105263157896
LK Erlangen-Höchstadt,9572,LK,Bayern,24.380165289256198,42.561983471074385,33.057851239669425,0.0,49.77777777777778,49.77777777777778,0.4444444444444444,2.479338842975207
LK Erzgebirgskreis,14521,LK,Sachsen,18.579234972677597,37.704918032786885,43.71584699453552,0.0,55.41125541125541,44.58874458874459,0.0,7.832422586520947
LK Esslingen,8116,LK,Baden-Württemberg,24.775280898876403,39.26966292134831,35.95505617977528,0.0,51.84381778741866,48.15618221258134,0.0,5.955056179775281
LK Euskirchen,5366,LK,Nordrhein-Westfalen,30.59360730593607,42.00913242009132,27.397260273972602,0.0,54.44743935309974,45.55256064690027,0.0,4.794520547945205
LK Forchheim,9474,LK,Bayern,33.65853658536586,43.90243902439025,22.439024390243905,0.0,50.26178010471204,49.73821989528796,0.0,1.951219512195122
LK Freising,9178,LK,Bayern,24.109867751780264,40.18311291963377,35.70701932858596,0.0,51.45631067961165,48.54368932038835,0.0,4.069175991861648
LK Freudenstadt,8237,LK,Baden-Württemberg,20.0,46.3716814159292,33.6283185840708,0.0,54.73251028806584,45.267489711934154,0.0,6.548672566371681
LK Freyung-Grafenau,9272,LK,Bayern,24.33862433862434,38.62433862433862,37.03703703703704,0.0,55.91397849462365,44.086021505376344,0.0,6.349206349206349
LK Friesland,3455,LK,Niedersachsen,24.242424242424242,36.36363636363637,39.39393939393939,0.0,33.33333333333333,66.66666666666666,0.0,3.0303030303030303
LK Fulda,6631,LK,Hessen,31.746031746031743,43.17460317460318,25.07936507936508,0.0,51.903114186851205,48.09688581314879,0.0,3.8095238095238098
LK Fürstenfeldbruck,9179,LK,Bayern,29.45823927765237,42.21218961625282,28.329571106094807,0.0,48.261474269819196,50.76495132127955,0.9735744089012517,3.837471783295711
LK Fürth,9573,LK,Bayern,17.706237424547282,30.985915492957744,51.30784708249497,0.0,56.43564356435643,43.56435643564357,0.0,11.267605633802818
LK Garmisch-Partenkirchen,9180,LK,Bayern,25.263157894736842,38.59649122807017,35.78947368421053,0.3508771929824561,54.43548387096774,45.564516129032256,0.0,6.315789473684211
LK Germersheim,7334,LK,Rheinland-Pfalz,22.972972972972975,53.37837837837838,23.64864864864865,0.0,48.59154929577465,51.40845070422535,0.0,3.3783783783783785
LK Gießen,6531,LK,Hessen,37.5,44.166666666666664,18.333333333333332,0.0,43.290043290043286,56.709956709956714,0.0,1.25
LK Gifhorn,3151,LK,Niedersachsen,20.8,47.199999999999996,32.0,0.0,51.2396694214876,48.760330578512395,0.0,3.2
LK Goslar,3153,LK,Niedersachsen,20.161290322580644,37.903225806451616,41.935483870967744,0.0,62.0253164556962,37.9746835443038,0.0,8.46774193548387
LK Gotha,16067,LK,Thüringen,24.46043165467626,36.330935251798564,39.20863309352518,0.0,57.199999999999996,42.8,0.0,9.712230215827338
LK Grafschaft Bentheim,3456,LK,Niedersachsen,23.20675105485232,40.92827004219409,35.86497890295359,0.0,48.13084112149533,51.86915887850467,0.0,6.751054852320674
LK Greiz,16076,LK,Thüringen,15.745393634840871,37.85594639865997,46.39865996649916,0.0,59.96275605214153,40.03724394785848,0.0,7.537688442211055
LK Groß-Gerau,6433,LK,Hessen,30.555555555555557,48.01587301587302,21.428571428571427,0.0,48.78048780487805,51.21951219512195,0.0,2.1825396825396823
LK Göppingen,8117,LK,Baden-Württemberg,25.34854245880862,40.43092522179975,34.22053231939163,0.0,50.712250712250714,49.287749287749286,0.0,5.069708491761723
LK Görlitz,14626,LK,Sachsen,19.402985074626866,36.940298507462686,43.656716417910445,0.0,57.48792270531401,42.51207729468599,0.0,8.208955223880597
LK Göttingen,3159,LK,Niedersachsen,19.974874371859297,33.66834170854271,46.10552763819096,0.25125628140703515,59.19881305637982,40.35608308605341,0.44510385756676557,8.668341708542714
LK Günzburg,9774,LK,Bayern,28.270042194092827,41.35021097046413,30.37974683544304,0.0,54.106280193236714,45.893719806763286,0.0,1.6877637130801686
LK Gütersloh,5754,LK,Nordrhein-Westfalen,20.47244094488189,56.06299212598426,23.30708661417323,0.15748031496062992,49.44649446494465,50.3690036900369,0.18450184501845018,2.9921259842519685
LK Hameln-Pyrmont,3252,LK,Niedersachsen,22.131147540983605,36.885245901639344,40.98360655737705,0.0,52.25225225225225,47.74774774774775,0.0,5.737704918032787
LK Harburg,3353,LK,Niedersachsen,37.786259541984734,39.88549618320611,22.328244274809162,0.0,46.41509433962264,53.58490566037736,0.0,2.480916030534351
LK Harz,15085,LK,Sachsen-Anhalt,49.224806201550386,35.27131782945737,15.503875968992247,0.0,43.03030303030303,56.96969696969697,0.0,1.550387596899225
LK Havelland,12063,LK,Brandenburg,21.637426900584796,52.63157894736842,25.730994152046783,0.0,53.57142857142857,46.42857142857143,0.0,3.508771929824561
LK Haßberge,9674,LK,Bayern,36.12903225806451,38.70967741935484,25.161290322580644,0.0,51.67785234899329,48.322147651006716,0.0,3.870967741935484
LK Heidekreis,3358,LK,Niedersachsen,36.11111111111111,44.44444444444444,19.444444444444446,0.0,51.42857142857142,48.57142857142857,0.0,2.7777777777777777
LK Heidenheim,8135,LK,Baden-Württemberg,34.645669291338585,33.267716535433074,31.496062992125985,0.5905511811023622,52.32876712328767,47.671232876712324,0.0,7.677165354330709
LK Heilbronn,8125,LK,Baden-Württemberg,24.866023579849948,43.62272240085745,31.404072883172564,0.10718113612004287,51.1166253101737,48.883374689826304,0.0,4.072883172561629
LK Heinsberg,5370,LK,Nordrhein-Westfalen,26.80965147453083,42.30563002680965,30.831099195710454,0.05361930294906167,50.68027210884354,49.25170068027211,0.06802721088435373,3.6997319034852545
LK Helmstedt,3154,LK,Niedersachsen,31.15942028985507,45.65217391304348,22.463768115942027,0.7246376811594203,49.54128440366973,50.45871559633027,0.0,0.7246376811594203
LK Herford,5758,LK,Nordrhein-Westfalen,30.0,46.666666666666664,23.333333333333332,0.0,52.78688524590164,47.21311475409836,0.0,2.1212121212121215
LK Hersfeld-Rotenburg,6632,LK,Hessen,18.316831683168317,41.089108910891085,40.5940594059406,0.0,54.61538461538461,45.38461538461539,0.0,10.891089108910892
LK Herzogtum Lauenburg,1053,LK,Schleswig-Holstein,28.57142857142857,44.73684210526316,26.691729323308273,0.0,54.0650406504065,45.9349593495935,0.0,5.639097744360902
LK Hildburghausen,16069,LK,Thüringen,11.428571428571429,54.285714285714285,34.285714285714285,0.0,51.42857142857142,48.57142857142857,0.0,2.857142857142857
LK Hildesheim,3254,LK,Niedersachsen,31.510416666666668,48.95833333333333,19.53125,0.0,48.38709677419355,51.61290322580645,0.0,1.3020833333333335
LK Hochsauerlandkreis,5958,LK,Nordrhein-Westfalen,27.22772277227723,40.5940594059406,32.17821782178218,0.0,53.91969407265774,46.08030592734226,0.0,2.8052805280528053
LK Hochtaunuskreis,6434,LK,Hessen,19.305019305019304,52.123552123552116,28.57142857142857,0.0,52.320675105485236,47.67932489451477,0.0,1.9305019305019304
LK Hof,9475,LK,Bayern,23.623853211009173,39.908256880733944,36.23853211009174,0.22935779816513763,55.0761421319797,44.923857868020306,0.0,6.8807339449541285
LK Hohenlohekreis,8126,LK,Baden-Württemberg,20.49934296977661,39.68462549277267,39.15900131406045,0.657030223390276,52.95358649789029,46.835443037974684,0.21097046413502107,5.781865965834428
LK Holzminden,3255,LK,Niedersachsen,17.92452830188679,32.075471698113205,50.0,0.0,62.76595744680851,37.234042553191486,0.0,6.60377358490566
LK Höxter,5762,LK,Nordrhein-Westfalen,19.476744186046513,43.02325581395349,37.5,0.0,53.94736842105263,46.05263157894737,0.0,4.651162790697675
LK Ilm-Kreis,16070,LK,Thüringen,22.48062015503876,44.18604651162791,33.33333333333333,0.0,47.05882352941176,52.94117647058824,0.0,3.10077519379845
LK Jerichower Land,15086,LK,Sachsen-Anhalt,18.181818181818183,51.515151515151516,30.303030303030305,0.0,45.45454545454545,54.54545454545454,0.0,6.0606060606060606
LK Kaiserslautern,7335,LK,Rheinland-Pfalz,36.27450980392157,45.09803921568628,18.627450980392158,0.0,56.00000000000001,44.0,0.0,0.0
LK Karlsruhe,8215,LK,Baden-Württemberg,20.021528525296016,40.15069967707212,39.82777179763186,0.0,53.52112676056338,46.478873239436616,0.0,8.073196986006458
LK Kassel,6633,LK,Hessen,23.9247311827957,41.39784946236559,34.67741935483871,0.0,52.567975830815705,47.43202416918429,0.0,7.526881720430108
LK Kelheim,9273,LK,Bayern,26.077097505668934,43.76417233560091,30.158730158730158,0.0,54.4973544973545,45.5026455026455,0.0,7.709750566893423
LK Kitzingen,9675,LK,Bayern,43.08510638297872,29.25531914893617,27.127659574468083,0.5319148936170213,48.66666666666667,50.0,1.3333333333333335,1.5957446808510638
LK Kleve,5154,LK,Nordrhein-Westfalen,23.64760432766615,45.440494590417316,30.757341576506953,0.1545595054095827,52.5328330206379,47.467166979362105,0.0,5.4095826893353935
LK Konstanz,8335,LK,Baden-Württemberg,31.222707423580786,44.54148471615721,24.23580786026201,0.0,49.75728155339806,50.24271844660194,0.0,3.056768558951965
LK Kronach,9476,LK,Bayern,29.333333333333332,46.666666666666664,24.0,0.0,52.44755244755245,46.85314685314685,0.6993006993006993,2.0
LK Kulmbach,9477,LK,Bayern,33.054393305439326,43.09623430962343,23.84937238493724,0.0,55.26315789473685,44.73684210526316,0.0,4.602510460251046
LK Kusel,7336,LK,Rheinland-Pfalz,27.77777777777778,56.666666666666664,15.555555555555555,0.0,41.46341463414634,58.536585365853654,0.0,1.1111111111111112
LK Kyffhäuserkreis,16065,LK,Thüringen,26.666666666666668,55.55555555555556,17.77777777777778,0.0,48.888888888888886,51.11111111111111,0.0,0.0
LK Lahn-Dill-Kreis,6532,LK,Hessen,20.99125364431487,49.27113702623907,29.737609329446062,0.0,55.5921052631579,44.40789473684211,0.0,4.956268221574344
LK Landsberg a.Lech,9181,LK,Bayern,34.530386740331494,42.26519337016575,23.204419889502763,0.0,47.39336492890995,50.71090047393365,1.8957345971563981,2.7624309392265194
LK Landshut,9274,LK,Bayern,23.520485584218513,36.722306525037936,39.75720789074355,0.0,52.85961871750433,47.14038128249567,0.0,4.400606980273141
LK Leer,3457,LK,Niedersachsen,29.126213592233007,38.83495145631068,32.038834951456316,0.0,46.391752577319586,53.608247422680414,0.0,2.912621359223301
LK Leipzig,14729,LK,Sachsen,25.0,48.4375,26.5625,0.0,50.898203592814376,49.101796407185624,0.0,2.083333333333333
LK Lichtenfels,9478,LK,Bayern,30.241935483870968,39.91935483870967,29.838709677419356,0.0,53.45622119815668,46.54377880184332,0.0,2.4193548387096775
LK Limburg-Weilburg,6533,LK,Hessen,32.752613240418114,44.25087108013937,22.99651567944251,0.0,50.37037037037037,49.629629629629626,0.0,2.0905923344947737
LK Lindau,9776,LK,Bayern,33.75,41.25,25.0,0.0,47.3170731707317,52.6829268292683,0.0,3.3333333333333335
LK Lippe,5766,LK,Nordrhein-Westfalen,28.64864864864865,41.08108108108108,30.270270270270274,0.0,54.502369668246445,45.497630331753555,0.0,3.9189189189189193
LK Ludwigsburg,8118,LK,Baden-Württemberg,25.0,41.97459584295612,33.02540415704388,0.0,51.034975017844395,48.89364739471806,0.07137758743754462,4.099307159353349
LK Ludwigslust-Parchim,13076,LK,Mecklenburg-Vorpommern,30.0,37.5,32.5,0.0,40.78947368421053,59.210526315789465,0.0,2.5
LK Lörrach,8336,LK,Baden-Württemberg,20.902255639097746,40.30075187969925,38.796992481203006,0.0,52.33333333333333,47.333333333333336,0.33333333333333337,8.571428571428571
LK Lüchow-Dannenberg,3354,LK,Niedersachsen,15.789473684210526,31.57894736842105,52.63157894736842,0.0,63.1578947368421,36.84210526315789,0.0,15.789473684210526
LK Lüneburg,3355,LK,Niedersachsen,50.0,39.285714285714285,10.714285714285714,0.0,48.38709677419355,51.61290322580645,0.0,0.0
LK Main-Kinzig-Kreis,6435,LK,Hessen,25.558659217877093,42.877094972067034,31.564245810055862,0.0,54.35816164817749,45.64183835182251,0.0,5.865921787709497
LK Main-Spessart,9677,LK,Bayern,33.11258278145696,39.0728476821192,27.81456953642384,0.0,52.112676056338024,47.88732394366197,0.0,3.9735099337748347
LK Main-Tauber-Kreis,8128,LK,Baden-Württemberg,25.44529262086514,46.0559796437659,28.498727735368956,0.0,50.750750750750754,48.64864864864865,0.6006006006006006,2.5445292620865136
LK Main-Taunus-Kreis,6436,LK,Hessen,20.569620253164558,51.26582278481012,28.164556962025316,0.0,47.794117647058826,51.83823529411765,0.3676470588235294,4.113924050632911
LK Mainz-Bingen,7339,LK,Rheinland-Pfalz,25.17814726840855,39.19239904988123,35.15439429928741,0.4750593824228029,52.770448548812666,46.965699208443276,0.2638522427440633,5.7007125890736345
LK Mansfeld-Südharz,15087,LK,Sachsen-Anhalt,36.0,34.0,30.0,0.0,48.888888888888886,51.11111111111111,0.0,4.0
LK Marburg-Biedenkopf,6534,LK,Hessen,29.381443298969074,48.96907216494845,21.649484536082475,0.0,51.12359550561798,48.87640449438202,0.0,1.5463917525773196
LK Mayen-Koblenz,7137,LK,Rheinland-Pfalz,17.058823529411764,42.94117647058823,39.11764705882353,0.8823529411764706,48.0,51.6,0.4,4.117647058823529
LK Mecklenburgische Seenplatte,13071,LK,Mecklenburg-Vorpommern,28.57142857142857,43.69747899159664,27.73109243697479,0.0,50.45871559633027,49.54128440366973,0.0,2.5210084033613445
LK Meißen,14627,LK,Sachsen,21.888412017167383,43.776824034334766,34.33476394849785,0.0,59.210526315789465,40.78947368421053,0.0,8.15450643776824
LK Merzig-Wadern,10042,LK,Saarland,28.431372549019606,41.17647058823529,30.392156862745097,0.0,55.483870967741936,44.516129032258064,0.0,0.9803921568627451
