Kreisname;Anzahl Patienten mit mindestens einer Vorerkrankung;Prävalenz (Anteil mit mindestens einer Vorerkrankung in %);Prävalenz-Schätzwerte plausibles Intervall Untergrenze;Prävalenz-Schätzwerte plausibles Intervall Obergrenze
Ahrweiler;37,000;28.2;22.1;38.1
Aichach-Friedberg;27,000;20.5;17.2;26.5
Alb-Donau-Kreis;50,000;25.7;22.4;30.8
Altenburger Land;34,000;38.0;33.5;43.6
Altenkirchen (Westerwald);38,000;29.9;24.4;36.1
Altmarkkreis Salzwedel;32,000;37.8;30.7;42.6
Altötting;28,000;25.4;21.9;30.5
Alzey-Worms;35,000;26.8;20.8;33.2
Amberg;12,000;28.8;24.2;35.6
Amberg-Sulzbach;30,000;29.2;24.6;35.0
Ammerland;29,000;23.6;20.5;26.9
Anhalt-Bitterfeld;65,000;40.8;31.8;45.8
Ansbach;10,000;24.5;19.4;29.8
Ansbach, Landkreis;48,000;26.0;21.4;33.8
Aschaffenburg;16,000;22.8;20.0;25.3
Aschaffenburg, Landkreis;41,000;23.7;21.5;28.4
Augsburg;65,000;22.0;18.0;27.8
Augsburg, Landkreis;59,000;23.3;19.8;29.0
Aurich;53,000;28.0;24.1;33.0
Bad Dürkheim;37,000;28.0;22.2;33.1
Bad Kissingen;33,000;32.2;26.7;39.5
Bad Kreuznach;46,000;29.3;22.8;38.4
Bad Tölz-Wolfratshausen;30,000;23.9;19.4;29.2
Baden-Baden;14,000;26.1;20.9;33.6
Bamberg;17,000;21.4;17.3;26.4
Bamberg, Landkreis;38,000;26.1;21.5;31.6
Barnim;54,000;29.5;23.3;36.8
Bautzen;101,000;33.3;27.2;41.2
Bayreuth;18,000;24.1;20.5;29.3
Bayreuth, Landkreis;30,000;29.4;25.4;34.2
Berchtesgadener Land;25,000;23.8;20.0;31.1
Bergstraße;60,000;22.4;19.4;28.9
Berlin;805,000;22.2;19.6;25.7
Bernkastel-Wittlich;32,000;28.7;23.3;33.8
Biberach;44,000;21.9;19.0;28.1
Bielefeld;79,000;23.6;18.9;28.6
Birkenfeld;25,000;31.2;25.3;38.2
Böblingen;88,000;22.6;19.5;28.4
Bochum;105,000;28.7;23.7;32.6
Bodenseekreis;45,000;20.7;17.4;28.7
Bonn;67,000;20.5;16.7;26.3
Börde;57,000;33.0;27.1;39.4
Borken;86,000;23.3;19.3;29.0
Bottrop;39,000;33.3;28.7;40.7
Brandenburg an der Havel;25,000;34.7;23.4;43.2
Braunschweig;56,000;22.8;20.4;26.5
Breisgau-Hochschwarzwald;57,000;21.8;18.1;27.9
Bremen;133,000;23.3;19.7;27.3
Bremerhaven;32,000;27.9;23.5;32.1
Burgenlandkreis;71,000;39.2;34.6;43.3
Calw;39,000;24.9;21.2;30.3
Celle;42,000;23.5;20.1;31.3
Cham;36,000;27.8;24.4;33.1
Chemnitz;76,000;30.6;27.4;36.4
Cloppenburg;40,000;23.5;20.5;28.0
Coburg;11,000;26.1;21.8;33.2
Coburg, Landkreis;28,000;32.2;26.3;36.4
Cochem-Zell;21,000;34.5;29.1;40.2
Coesfeld;60,000;27.5;21.0;34.3
Cottbus;30,000;29.7;23.0;35.1
Cuxhaven;56,000;28.3;24.3;32.9
Dachau;34,000;22.5;18.8;27.7
Dahme-Spreewald;50,000;29.6;23.2;35.5
Darmstadt;30,000;18.6;16.5;21.9
Darmstadt-Dieburg;74,000;24.9;21.2;30.8
Deggendorf;31,000;26.0;22.2;32.8
Delmenhorst;20,000;25.9;22.6;30.2
Dessau-Roßlau;30,000;36.7;31.3;41.7
Diepholz;56,000;25.8;22.4;31.7
Dillingen an der Donau;26,000;27.6;23.5;32.3
Dingolfing-Landau;27,000;28.0;23.4;34.8
Dithmarschen;36,000;27.1;22.0;32.7
Donau-Ries;36,000;27.2;23.3;32.4
Donnersbergkreis;23,000;30.3;24.4;37.6
Dortmund;156,000;26.6;22.4;31.1
Dresden;136,000;24.5;20.4;30.2
Duisburg;151,000;30.2;26.0;34.2
Düren;79,000;30.0;26.7;34.0
Düsseldorf;145,000;23.5;20.6;28.1
Ebersberg;30,000;21.0;17.5;26.8
Eichsfeld;35,000;34.3;29.8;39.2
Eichstätt;29,000;22.3;17.6;28.8
Eifelkreis Bitburg-Prüm;28,000;28.1;22.4;36.5
Eisenach;14,000;33.8;29.0;38.9
Elbe-Elster;38,000;37.1;28.8;42.0
Emden;12,000;22.9;18.2;28.4
Emmendingen;38,000;23.2;19.6;29.1
Emsland;83,000;25.7;22.6;30.7
Ennepe-Ruhr-Kreis;103,000;31.8;27.1;36.2
Enzkreis;50,000;25.1;20.9;30.4
Erding;29,000;21.4;18.2;28.1
Erfurt;58,000;27.2;23.2;33.4
Erlangen;23,000;20.6;17.2;27.3
Erlangen-Höchstadt;33,000;24.6;20.3;30.8
Erzgebirgskreis;129,000;38.1;33.9;42.7
Essen;170,000;29.1;25.0;33.6
Esslingen;131,000;24.5;20.0;31.4
Euskirchen;55,000;28.4;22.3;33.3
Flensburg;22,000;24.7;20.8;28.8
Forchheim;30,000;26.1;21.9;32.0
Frankenthal (Pfalz);12,000;23.8;20.4;30.8
Frankfurt (Oder);20,000;35.1;29.9;45.3
Frankfurt am Main;145,000;19.4;17.1;23.9
Freiburg im Breisgau;37,000;16.1;13.2;22.2
Freising;36,000;20.4;16.8;25.7
Freudenstadt;29,000;24.4;20.7;29.1
Freyung-Grafenau;23,000;28.7;24.2;33.8
Friesland;28,000;28.5;24.2;34.0
Fulda;62,000;28.0;23.6;32.5
Fürstenfeldbruck;48,000;22.0;18.1;27.5
Fürth;31,000;24.4;19.9;29.9
Fürth, Landkreis;31,000;26.6;22.2;32.5
Garmisch-Partenkirchen;20,000;23.0;18.0;29.0
Gelsenkirchen;88,000;33.7;27.2;38.9
Gera;31,000;32.6;27.6;39.7
Germersheim;35,000;27.0;23.6;32.2
Gießen;66,000;24.5;21.2;27.9
Gifhorn;48,000;27.3;22.9;32.5
Göppingen;60,000;23.5;20.6;28.1
Görlitz;93,000;36.5;33.0;42.5
Goslar;42,000;30.6;26.9;35.0
Gotha;47,000;34.4;29.8;38.7
Göttingen;90,000;27.4;24.2;31.9
Grafschaft Bentheim;34,000;25.3;21.8;30.9
Greiz;36,000;36.5;31.4;41.6
Groß-Gerau;63,000;23.0;19.8;27.8
Günzburg;33,000;26.5;20.9;30.5
Gütersloh;91,000;25.2;21.3;29.7
Hagen;54,000;28.8;23.1;34.6
Halle (Saale);68,000;28.5;23.7;32.9
Hamburg;392,000;21.4;17.9;25.4
Hameln-Pyrmont;42,000;28.0;24.1;33.5
Hamm;56,000;31.4;25.8;36.5
Harburg;59,000;23.5;19.6;27.8
Harz;72,000;33.4;27.2;41.9
Haßberge;28,000;33.0;28.5;38.0
Havelland;47,000;28.9;21.5;36.0
Heidekreis;39,000;27.8;23.8;32.2
Heidelberg;22,000;13.9;11.0;21.9
Heidenheim;36,000;27.1;22.2;33.0
Heilbronn;29,000;23.3;19.9;28.2
Heilbronn, Landkreis;81,000;23.7;20.9;29.8
Heinsberg;67,000;26.3;23.0;32.5
Helmstedt;29,000;32.1;26.3;39.3
Herford;69,000;27.5;23.3;32.3
Herne;52,000;33.4;29.7;37.6
Hersfeld-Rotenburg;38,000;31.8;25.9;37.5
Herzogtum Lauenburg;50,000;25.4;20.1;28.1
Hildburghausen;25,000;38.7;33.1;44.1
Hildesheim;72,000;26.1;23.5;30.3
Hochsauerlandkreis;83,000;31.8;29.6;34.5
Hochtaunuskreis;48,000;20.5;16.1;25.4
Hof;15,000;31.8;26.4;38.4
Hof, Landkreis;33,000;34.1;30.1;38.7
Hohenlohekreis;29,000;26.2;23.0;31.7
Holzminden;24,000;33.8;29.5;39.3
Höxter;41,000;28.9;25.3;33.3
Ilm-Kreis;39,000;36.1;31.8;42.2
Ingolstadt;29,000;21.7;17.9;25.7
Jena;22,000;19.6;15.5;28.9
Jerichower Land;34,000;38.0;32.3;44.8
Kaiserslautern;23,000;23.0;18.3;30.8
Kaiserslautern, Landkreis;27,000;25.0;20.2;32.7
Karlsruhe;62,000;19.9;16.1;25.2
Karlsruhe, Landkreis;118,000;26.6;22.2;33.0
Kassel;43,000;21.5;17.1;25.0
Kassel, Landkreis;66,000;27.9;23.9;34.1
Kaufbeuren;13,000;30.5;25.3;36.1
Kelheim;31,000;25.5;21.9;29.5
Kempten (Allgäu);15,000;22.2;18.6;28.8
Kiel;51,000;20.6;18.1;28.2
Kitzingen;26,000;28.2;24.5;33.9
Kleve;93,000;29.7;27.1;33.1
Koblenz;25,000;22.2;18.0;28.5
Köln;234,000;21.6;18.9;26.9
Konstanz;56,000;19.8;15.0;27.9
Krefeld;64,000;28.0;22.2;32.0
Kronach;24,000;35.6;30.6;41.6
Kulmbach;23,000;31.8;26.3;36.8
Kusel;20,000;28.7;24.1;36.1
Kyffhäuserkreis;28,000;37.1;30.9;43.7
Lahn-Dill-Kreis;75,000;29.6;24.6;34.5
Landau in der Pfalz;11,000;24.7;20.1;30.2
Landsberg am Lech;27,000;22.3;18.3;28.2
Landshut;18,000;25.0;21.2;33.5
Landshut, Landkreis;39,000;24.9;21.2;31.6
Leer;47,000;28.0;24.3;32.6
Leipzig;152,000;26.0;23.8;30.0
Leipzig, Landkreis;97,000;37.7;34.1;42.1
Leverkusen;44,000;26.6;23.0;31.0
Lichtenfels;21,000;31.4;26.7;37.1
Limburg-Weilburg;46,000;26.6;22.0;32.2
Lindau (Bodensee);18,000;22.6;19.5;28.0
Lippe;92,000;26.5;23.4;31.7
Lörrach;48,000;21.1;17.9;27.1
Lübeck;57,000;26.4;21.6;30.0
Lüchow-Dannenberg;17,000;35.2;28.0;41.1
Ludwigsburg;120,000;22.1;19.2;28.8
Ludwigshafen am Rhein;41,000;24.2;19.2;28.3
Ludwigslust-Parchim;74,000;34.8;30.3;38.9
Lüneburg;42,000;22.9;19.1;27.7
Magdeburg;75,000;31.4;25.3;35.8
Main-Kinzig-Kreis;105,000;25.1;21.8;30.3
Main-Spessart;37,000;29.6;25.5;34.3
Main-Tauber-Kreis;39,000;29.1;25.4;34.0
Main-Taunus-Kreis;46,000;19.3;16.7;23.9
Mainz;44,000;20.1;16.6;27.1
Mainz-Bingen;50,000;23.9;17.7;31.2
Mannheim;68,000;22.1;18.3;26.6
Mansfeld-Südharz;60,000;43.5;33.9;49.6
Marburg-Biedenkopf;54,000;22.1;19.7;29.0
Märkischer Kreis;127,000;30.9;27.3;35.7
Märkisch-Oderland;53,000;27.2;21.9;45.2
Mayen-Koblenz;60,000;28.0;23.4;34.5
Mecklenburgische Seenplatte;90,000;34.6;29.9;40.7
Meißen;83,000;34.2;31.3;39.9
Memmingen;12,000;27.0;22.5;32.1
Merzig-Wadern;33,000;31.7;23.9;38.7
Mettmann;148,000;30.5;27.6;34.6
Miesbach;24,000;24.1;20.7;31.2
Miltenberg;37,000;28.9;24.2;33.8
Minden-Lübbecke;84,000;26.9;21.7;33.9
Mittelsachsen;108,000;35.3;31.8;39.7
Mönchengladbach;76,000;29.0;23.9;33.3
Mühldorf am Inn;29,000;25.1;20.8;31.5
Mülheim an der Ruhr;45,000;26.5;20.7;31.1
München;286,000;19.5;16.4;24.0
München, Landkreis;72,000;20.7;16.7;27.1
Münster;54,000;17.1;14.4;24.9
Neckar-Odenwald-Kreis;44,000;30.5;27.3;35.9
Neuburg-Schrobenhausen;23,000;23.9;19.8;28.1
Neumarkt in der Oberpfalz;33,000;24.9;21.3;29.4
Neumünster;22,000;28.1;25.0;32.8
Neunkirchen;42,000;31.9;25.2;36.9
Neustadt an der Aisch - Bad Windsheim;30,000;29.9;24.3;34.7
Neustadt an der Waldnaab;27,000;28.3;23.5;33.0
Neustadt an der Weinstraße;13,000;24.6;20.6;34.2
Neu-Ulm;41,000;23.5;19.8;27.9
Neuwied;52,000;28.8;23.3;35.1
Nienburg (Weser);37,000;30.4;26.4;34.9
Nordfriesland;40,000;24.2;18.4;34.1
Nordhausen;32,000;38.4;32.2;44.3
Nordsachsen;74,000;37.4;33.1;42.5
Nordwestmecklenburg;49,000;31.5;27.1;38.8
Northeim;44,000;33.4;29.0;37.9
Nürnberg;132,000;25.5;22.7;30.6
Nürnberger Land;45,000;26.5;22.4;31.5
Oberallgäu;35,000;22.3;19.5;30.1
Oberbergischer Kreis;72,000;26.5;22.9;31.4
Oberhausen;59,000;28.1;23.5;33.3
Oberhavel;60,000;28.5;23.1;36.7
Oberspreewald-Lausitz;37,000;33.8;27.0;40.5
Odenwaldkreis;27,000;28.0;24.3;32.5
Oder-Spree;53,000;29.8;24.4;47.4
Offenbach am Main;28,000;22.2;18.8;26.5
Offenbach, Landkreis;76,000;21.7;17.9;27.5
Oldenburg;33,000;19.5;16.6;24.2
Oldenburg, Landkreis;29,000;22.6;19.6;26.9
Olpe;38,000;28.0;25.0;33.5
Ortenaukreis;111,000;26.0;20.8;31.4
Osnabrück;38,000;22.9;18.4;29.1
Osnabrück, Landkreis;99,000;27.6;24.0;34.1
Ostalbkreis;73,000;23.2;19.1;30.1
Ostallgäu;36,000;25.6;20.6;30.3
Osterholz;29,000;25.5;21.1;31.5
Ostholstein;58,000;29.0;24.6;33.8
Ostprignitz-Ruppin;33,000;32.8;25.7;41.2
Paderborn;74,000;24.1;20.6;28.1
Passau;13,000;24.7;21.4;32.1
